"province_code","province_th"
"10","กรุงเทพมหานคร"
"11","สมุทรปราการ"
"12","นนทบุรี"
"13","ปทุมธานี"
"14","พระนครศรีอยุธยา"
"15","อ่างทอง"
"16","ลพบุรี"
"17","สิงห์บุรี"
"18","ชัยนาท"
"19","สระบุรี"
